"title","link","authors","journal","primary-field","secondary-field","best-part","second-best-part","about","ip","user_agent","referrer","created_at"
"Optimal Search for the Best Alternative","https://www.jstor.org/stable/1910412","Martin Weitzman","Econometrics","Theory","None Selected","Introduction","Theory","Mainly the exceptionally clear writing ","2600:1001:b010:a829:1c32:5952:8842:d3d2","Mozilla/5.0 (Linux; Android 12; SM-G991U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Mobile Safari/537.36","https://great-economics-writing.netlify.app/","2022-08-14T13:44:52.202Z"
"An experimental study of competitive market behavior ","https://www.jstor.org/stable/1861810","Vernon L Smith ","Journal of Political Economy ","None Selected","None Selected","Motivation","Conclusion","Its a test of the competitive market hypothesis with a small number of players with private information. The experiments show that the theoretical assumption are overly strong and markets converge with a small number of players with private information. ","85.255.235.37","Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.5 Mobile/15E148 Safari/604.1","https://great-economics-writing.netlify.app/","2022-08-14T13:05:33.209Z"
"Monotone Comparative Statics","http://web.stanford.edu/~milgrom/publishedarticles/Monotone%20Comparative%20Statics.pdf","Paul Milgrom and Christina Shannon","Econometrica","Theory","None Selected","Theory","Introduction","It is path breaking in its exposition and clarity. Revolutionised the main method of economic theory.","99.239.237.203","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","https://great-economics-writing.netlify.app/","2022-08-14T11:37:32.325Z"
"Endogenous Technical Change","https://www.journals.uchicago.edu/doi/pdf/10.1086/261725?casa_token=yepykYh8RSQAAAAA:jAKNtBbFPYIvXqmR5X42OFnqq81YQhYJA01rdAUDUF5rfmCd3qf6C4UT3Os5ZjRotK_w6hzg78PO","Paul Romer","Journal of Political Economy","Theory","Development","Theory","Motivation","It is a deep and beautiful exposition of economic theory.","99.239.237.203","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","https://great-economics-writing.netlify.app/","2022-08-14T11:35:39.513Z"
"Growth and Welfare Effects of Fiscal Policy in an Endogenous Growth Model with Public Investment","https://doi.org/10.1023/A:1008673925024","Alfred Greiner, Horst Hanusch","International Tax and Public Finance","Public Economics","Theory","Motivation","Theory","The paper offers a theoretical endogenous growth model of fiscal policy effect of public investments. It explains different channels through which investments in public capital influence private capital and subsequently economic growth. The endogenous growth model develop a clear path through which a country may results to balanced growth path (BGP) through public investments channel.","102.89.34.38","Mozilla/5.0 (Linux; Android 10; TECNO KD7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36","https://great-economics-writing.netlify.app/","2022-08-14T06:39:33.877Z"
"Imports, Exports, and Earnings Inequality: Measures of Exposure and Estimates of Incidence","https://doi.org/10.1093/qje/qjac012","Rodrigo Adão, Paul Carrillo, Arnaud Costinot, Dave Donaldson, Dina Pomeranz","The Quarterly Journal of Economics ","Trade","Theory","Empirical Strategy","Motivation","The motivation of the paper is driven by classical questions that explains reasons why those who engage in trade may likely earn higher than those who do not engage in trade. Using Ecuador as a case study, it is evident that trade (import & export) is a primary source of earnings inequality.","102.89.34.137","Mozilla/5.0 (Linux; Android 10; TECNO KD7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36","https://great-economics-writing.netlify.app/","2022-08-14T06:32:39.362Z"
"Can hearts and minds be bought?","https://esoc.princeton.edu/publications/can-hearts-and-minds-be-bought-economics-counterinsurgency-iraq","Berman, Shapiro, felter","Journal of political economy ","Theory","None Selected","Introduction","Motivation","It’s a beautiful blend of simple economic theory applied to a new problem using convincing empirical strategies. It’s the most perfect paper I’ve ever read. ","169.231.63.136","Mozilla/5.0 (iPhone; CPU iPhone OS 15_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6 Mobile/15E148 Safari/604.1","https://great-economics-writing.netlify.app/","2022-08-14T06:04:24.109Z"
"Does Head Start improve children's life chances? Evidence from a regression discontinuity design","http://harris.uchicago.edu/files/inline-files/QJE_Headstart_2007_0.pdf","Jens Ludwig, Douglas L. Miller","Quarterly Journal of Economics","Health","None Selected","Empirical Strategy","None Selected","Excellent, clearly written example of not just RD but applied causal inference more broadly. Uses quantitative (placebo tests, etc.) and qualitative (interviews, history) evidence to support the identification strategy. Careful discussion of limitations and threats to validity.","72.226.51.246","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","https://great-economics-writing.netlify.app/","2022-08-14T04:07:32.877Z"
"Prices Vs Quantities","https://scholar.harvard.edu/files/weitzman/files/prices_vs_quantities.pdf","Martin Weitzman ","REStud","Environmental","None Selected","Theory","Motivation","Great intuition about a general problem and amazing commentary in taking you through the model. Weitzman was a master at talking you through the strengths and weaknesses of his modeling assumptions and leaving you convinced the math was actually meaningfully capturing reality. ","2601:184:4a7f:bee0:6598:4859:9768:9bd6","Mozilla/5.0 (iPhone; CPU iPhone OS 15_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6 Mobile/15E148 Safari/604.1","https://great-economics-writing.netlify.app/","2022-08-14T01:24:13.771Z"
"What is the Optimal Level of Pollution?","https://doi.org/10.1086/260281","E. J. Mishan","Journal of Political Economy","Environmental","None Selected","Motivation","Theory","Beautifully written and with a perspective that will change your mind about the typical all-or-nothing approach to externalities that is usually presented. Mishan's approach is analogous to profit maximization in a multi-plant firm.","68.168.161.253","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54","https://great-economics-writing.netlify.app/","2022-08-14T00:14:07.573Z"
"School Breakfast and Student Behavior","https://onlinelibrary.wiley.com/doi/10.1111/ajae.12312","Cuadros Menaca Andres, Michael R. Thomsen, Rodolfo M. Nayga Jr. ","American Journal of Agricultural Economics","Education","Health","Introduction","Conclusion","We are very grateful to the editor in charge Marc Bellemare and the suggestions of the anonymous referees on the writing of the article. I love paper in general. The introduction is very complete and well organized (Motivation, Hypothesis, Methodology, Results, Contribution to the literature, and how the paper is organized). I also like the conclusions. This is always a hard part to write, but I think we did a great job in this one. We briefly describe our results without being repetitive, mention some limitations of the analysis, and express our findings in policy terms.","67.212.121.240","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","https://great-economics-writing.netlify.app/","2022-08-13T23:08:36.405Z"
"Why the far-distant future should be discounted at its lowest possible rate","https://scholar.harvard.edu/files/weitzman/files/why_far-distant_future.pdf","Martin L. Weitzman","Journal of Environmental Economics and Management","Environmental","Theory","Introduction","Conclusion","The question is important and though the math is not trivial, the explanations are great and can be followed with pretty minimal economics training. I teach this paper in my undergrad environmental econ class. Roughly half the class are non-majors who've only taken intro micro and learned discounting in the class. The writing is so clear that nearly all of the class grasps the key intuitions right away. It sets up great in-class discussions. There are so many great crumbs in there for these kinds of discussions.","24.91.160.128","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:103.0) Gecko/20100101 Firefox/103.0","https://great-economics-writing.netlify.app/","2022-08-13T23:01:46.146Z"
"Combining Matching and Synthetic Controls to Trade off Biases from Extrapolation and Interpolation","https://a-torgovitsky.github.io/sc.pdf","Maxwell Kellogg, Magne Mogstad, Guillaume A. Pouliot, Alexander Torgovitsky","https://a-torgovitsky.github.io/sc.pdf","Econometrics","None Selected","Introduction","Results","The examples used in this paper to build intuition are super clear and *very* effective.","73.243.208.68","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:103.0) Gecko/20100101 Firefox/103.0","https://great-economics-writing.netlify.app/","2022-08-13T22:53:00.845Z"
